Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,325,7258,7583,Mawlamyinegyun,MMR017018
 Rural,337,66966,67303,Mawlamyinegyun,MMR017018
 Total,662,74224,74886,Mawlamyinegyun,MMR017018
