Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,886,7605,8491,Kyaukse,MMR010013
 Rural,634,48640,49274,Kyaukse,MMR010013
 Total,1520,56245,57765,Kyaukse,MMR010013
