Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,26,744,770,Laymyethna,MMR017010
 Rural,95,25379,25474,Laymyethna,MMR017010
 Total,121,26123,26244,Laymyethna,MMR017010
