Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,3480,28461,31941,Pyin Oo Lwin,MMR010008
 Rural,526,20915,21441,Pyin Oo Lwin,MMR010008
 Total,4006,49376,53382,Pyin Oo Lwin,MMR010008
