Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,19,760,779,Manton,MMR015019
 Rural,9,6895,6904,Manton,MMR015019
 Total,28,7655,7683,Manton,MMR015019
