Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,272,5906,6178,Toungup,MMR012016
 Rural,57,19004,19061,Toungup,MMR012016
 Total,329,24910,25239,Toungup,MMR012016
