Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,562,11153,11715,Thanbyuzayat,MMR011004
 Rural,456,24063,24519,Thanbyuzayat,MMR011004
 Total,1018,35216,36234,Thanbyuzayat,MMR011004
