Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1201,7901,9102,Kengtung,MMR016001
 Rural,420,24574,24994,Kengtung,MMR016001
 Total,1621,32475,34096,Kengtung,MMR016001
