Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,678,8837,9515,Nyaung U,MMR010022
 Rural,266,34881,35147,Nyaung U,MMR010022
 Total,944,43718,44662,Nyaung U,MMR010022
