Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,444,5498,5942,Hmawby,MMR013003
 Rural,1669,48858,50527,Hmawby,MMR013003
 Total,2113,54356,56469,Hmawby,MMR013003
