Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,778,7971,8749,Hlegu,MMR013004
 Rural,1353,47921,49274,Hlegu,MMR013004
 Total,2131,55892,58023,Hlegu,MMR013004
