Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,20,742,762,Kenglat(ST),MMR016009
 Rural,7,1707,1714,Kenglat(ST),MMR016009
 Total,27,2449,2476,Kenglat(ST),MMR016009
