Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,517,10275,10792,Mudon,MMR011005
 Rural,454,28066,28520,Mudon,MMR011005
 Total,971,38341,39312,Mudon,MMR011005
