Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,250,3921,4171,Naungkhio,MMR015013
 Rural,258,27795,28053,Naungkhio,MMR015013
 Total,508,31716,32224,Naungkhio,MMR015013
