Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,102,1995,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,102,2159,2261,Kengtaung(ST),MMR014019
