Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,61,1408,1469,Monekoe(ST),MMR015009
 Rural,8,2881,2889,Monekoe(ST),MMR015009
 Total,69,4289,4358,Monekoe(ST),MMR015009
