Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,105,1957,2062,Buthidaung,MMR012010
 Rural,94,9108,9202,Buthidaung,MMR012010
 Total,199,11065,11264,Buthidaung,MMR012010
