Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,301,4382,4683,Kukai,MMR015011
 Rural,100,14248,14348,Kukai,MMR015011
 Total,401,18630,19031,Kukai,MMR015011
