Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,75,2391,2466,Ponnagyun,MMR012002
 Rural,33,22836,22869,Ponnagyun,MMR012002
 Total,108,25227,25335,Ponnagyun,MMR012002
