Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,226,4494,4720,Thazi,MMR010030
 Rural,294,39878,40172,Thazi,MMR010030
 Total,520,44372,44892,Thazi,MMR010030
