Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,179,5078,5257,Zalun,MMR017009
 Rural,114,36702,36816,Zalun,MMR017009
 Total,293,41780,42073,Zalun,MMR017009
