Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1026,24305,25331,Dala,MMR013030
 Rural,134,12447,12581,Dala,MMR013030
 Total,1160,36752,37912,Dala,MMR013030
