Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,55,787,842,Kehsi,MMR014015
 Rural,59,8000,8059,Kehsi,MMR014015
 Total,114,8787,8901,Kehsi,MMR014015
