Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,161,3678,3839,Kyauktaw,MMR012004
 Rural,194,32462,32656,Kyauktaw,MMR012004
 Total,355,36140,36495,Kyauktaw,MMR012004
