Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,385,9730,10115,Bogale,MMR017024
 Rural,411,65461,65872,Bogale,MMR017024
 Total,796,75191,75987,Bogale,MMR017024
