Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,174,4423,4597,Ngathaingchaung(ST),MMR017006
 Rural,302,18014,18316,Ngathaingchaung(ST),MMR017006
 Total,476,22437,22913,Ngathaingchaung(ST),MMR017006
