Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,66,1404,1470,Mineye`,MMR015003
 Rural,59,11799,11858,Mineye`,MMR015003
 Total,125,13203,13328,Mineye`,MMR015003
