Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,74,1045,1119,Minetung,MMR016008
 Rural,19,3120,3139,Minetung,MMR016008
 Total,93,4165,4258,Minetung,MMR016008
