Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,438,4403,4841,Nanhsam(South),MMR014013
 Rural,140,13882,14022,Nanhsam(South),MMR014013
 Total,578,18285,18863,Nanhsam(South),MMR014013
