Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,12,590,602,Kyauktalongyi(ST),MMR014001
 Rural,79,11584,11663,Kyauktalongyi(ST),MMR014001
 Total,91,12174,12265,Kyauktalongyi(ST),MMR014001
