Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,52,821,873,Talay(ST),MMR016009
 Rural,39,3106,3145,Talay(ST),MMR016009
 Total,91,3927,4018,Talay(ST),MMR016009
