Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,3,155,158,Taungpyoletwe(ST),MMR012009
 Rural,1,347,348,Taungpyoletwe(ST),MMR012009
 Total,4,502,506,Taungpyoletwe(ST),MMR012009
