Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,22,1193,1215,Maei(ST),MMR012016
 Rural,16,8722,8738,Maei(ST),MMR012016
 Total,38,9915,9953,Maei(ST),MMR012016
