Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,176,2594,2770,Pinlaung,MMR014009
 Rural,175,22559,22734,Pinlaung,MMR014009
 Total,351,25153,25504,Pinlaung,MMR014009
