Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,64,925,989,Mineyan,MMR016003
 Rural,66,9064,9130,Mineyan,MMR016003
 Total,130,9989,10119,Mineyan,MMR016003
