Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,117,2532,2649,Hsihseng,MMR014004
 Rural,208,29914,30122,Hsihseng,MMR014004
 Total,325,32446,32771,Hsihseng,MMR014004
