Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1899,9195,11094,Tachileik,MMR016009
 Rural,982,19103,20085,Tachileik,MMR016009
 Total,2881,28298,31179,Tachileik,MMR016009
