Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,78,2170,2248,Yanbye,MMR012013
 Rural,30,20140,20170,Yanbye,MMR012013
 Total,108,22310,22418,Yanbye,MMR012013
