Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,86,1662,1748,Kholan(ST),MMR014013
 Rural,77,2539,2616,Kholan(ST),MMR014013
 Total,163,4201,4364,Kholan(ST),MMR014013
