Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,50,1690,1740,Thapaung,MMR017003
 Rural,106,35391,35497,Thapaung,MMR017003
 Total,156,37081,37237,Thapaung,MMR017003
