Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,326,6482,6808,Tantyan,MMR015004
 Rural,98,28236,28334,Tantyan,MMR015004
 Total,424,34718,35142,Tantyan,MMR015004
