Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,901,9347,10248,Pobbathiri,MMR018005
 Rural,438,16930,17368,Pobbathiri,MMR018005
 Total,1339,26277,27616,Pobbathiri,MMR018005
