Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,12,219,231,Mineyu(ST),MMR016011
 Rural,128,10508,10636,Mineyu(ST),MMR016011
 Total,140,10727,10867,Mineyu(ST),MMR016011
