Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,140,3810,3950,Kyaungon,MMR017007
 Rural,96,37356,37452,Kyaungon,MMR017007
 Total,236,41166,41402,Kyaungon,MMR017007
