Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,145,1814,1959,Minepan,MMR014021
 Rural,107,3355,3462,Minepan,MMR014021
 Total,252,5169,5421,Minepan,MMR014021
