Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,131,1792,1923,Theinni,MMR015002
 Rural,101,9755,9856,Theinni,MMR015002
 Total,232,11547,11779,Theinni,MMR015002
