Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,115,2727,2842,Natogyi,MMR010019
 Rural,148,37975,38123,Natogyi,MMR010019
 Total,263,40702,40965,Natogyi,MMR010019
