Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,224,4122,4346,Myitthar,MMR010015
 Rural,250,41421,41671,Myitthar,MMR010015
 Total,474,45543,46017,Myitthar,MMR010015
