Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,14,332,346,Manhero(ST),MMR015009
 Rural,12,1285,1297,Manhero(ST),MMR015009
 Total,26,1617,1643,Manhero(ST),MMR015009
