Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,3,152,155,Naphang,MMR015006
 Rural,51,16268,16319,Naphang,MMR015006
 Total,54,16420,16474,Naphang,MMR015006
