Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,150,1953,2103,Mone`,MMR014019
 Rural,26,4095,4121,Mone`,MMR014019
 Total,176,6048,6224,Mone`,MMR014019
