Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,6404,50244,56648,Taunggyi,MMR014001
 Rural,301,25655,25956,Taunggyi,MMR014001
 Total,6705,75899,82604,Taunggyi,MMR014001
