Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,52,2004,2056,Htantabin,MMR013006
 Rural,256,31899,32155,Htantabin,MMR013006
 Total,308,33903,34211,Htantabin,MMR013006
