Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,194,5708,5902,Paung,MMR011008
 Rural,482,37342,37824,Paung,MMR011008
 Total,676,43050,43726,Paung,MMR011008
