Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,190,2124,2314,Maungtaw,MMR012009
 Rural,104,4972,5076,Maungtaw,MMR012009
 Total,294,7096,7390,Maungtaw,MMR012009
