Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,76,2598,2674,Kangyidaunt,MMR017002
 Rural,265,40027,40292,Kangyidaunt,MMR017002
 Total,341,42625,42966,Kangyidaunt,MMR017002
