Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,106,1217,1323,Minephyat,MMR016010
 Rural,49,4793,4842,Minephyat,MMR016010
 Total,155,6010,6165,Minephyat,MMR016010
