Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,10,576,586,Minelon(ST),MMR015012
 Rural,9,5261,5270,Minelon(ST),MMR015012
 Total,19,5837,5856,Minelon(ST),MMR015012
