Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,26,726,752,Minenaung(ST),MMR014015
 Rural,25,5034,5059,Minenaung(ST),MMR014015
 Total,51,5760,5811,Minenaung(ST),MMR014015
