Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,499,9365,9864,Kyauktan,MMR013024
 Rural,169,22943,23112,Kyauktan,MMR013024
 Total,668,32308,32976,Kyauktan,MMR013024
