Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,24,403,427,Tontar(ST),MMR016007
 Rural,2,2265,2267,Tontar(ST),MMR016007
 Total,26,2668,2694,Tontar(ST),MMR016007
