Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,2211,29684,31895,Dagon Myothit(East),MMR013020
 Rural,31,1987,2018,Dagon Myothit(East),MMR013020
 Total,2242,31671,33913,Dagon Myothit(East),MMR013020
