Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,270,4266,4536,Hopon,MMR014003
 Rural,88,20104,20192,Hopon,MMR014003
 Total,358,24370,24728,Hopon,MMR014003
