Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,303,3989,4292,Pantanaw,MMR017020
 Rural,516,55469,55985,Pantanaw,MMR017020
 Total,819,59458,60277,Pantanaw,MMR017020
